Product URL,Product Name,Brand / Sub-brand,Sale Price,MRP / Original Price,discount_amount,discount_pct
https://www.adidas.co.in/samba-og-shoes/B75806.html,Samba OG Shoes,Originals,10999,10999,0,0
https://www.adidas.co.in/galaxy-7-running-shoes/ID8757.html,Galaxy 7 Running Shoes,Men Performance,4409.5,6299,1889.5,30
https://www.adidas.co.in/samba-og-shoes/B75807.html,Samba OG Shoes,Originals,10999,10999,0,0
https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6879.html,ADIDAS X COCA-COLA SAMBA OG SHOES,Men Originals,10999,10999,0,0
https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6880.html,ADIDAS X COCA-COLA SAMBA OG SHOES,Men Originals,10999,10999,0,0
https://www.adidas.co.in/glenburn-x-argentina-x-thrasher-shoes/KH7384.html,Glenburn x Argentina x Thrasher Shoes,Originals,7599,7599,0,0
https://www.adidas.co.in/adilette-comfort-2.0-slides/KI9082.html,ADILETTE COMFORT 2.0 SLIDES,Sportswear,5599,5599,0,0
https://www.adidas.co.in/adidas-x-coca-cola-adistar-control-5-shoes/KH6895.html,ADIDAS X COCA-COLA ADISTAR CONTROL 5 SHOES,Originals,13999,13999,0,0
https://www.adidas.co.in/predator-club-firm-ground--multi-ground-football-boots/HP9978.html,PREDATOR CLUB Firm Ground/ Multi Ground Football Boots,Performance,5999,5999,0,0
https://www.adidas.co.in/predator-club-fold-over-tongue-firm-ground-multi-ground-football-boots/HQ2273.html,PREDATOR CLUB Fold-Over Tongue Firm Ground/Multi Ground Football Boots,Performance,6999,6999,0,0
https://www.adidas.co.in/adizero-evo-sl-shoes/JH6206.html,Adizero EVO SL Shoes,Men Performance,15999,15999,0,0
https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6893.html,ADIDAS X COCA-COLA SAMBA OG SHOES,Men Originals,12999,12999,0,0
https://www.adidas.co.in/f50-messi-club-firm-ground-multi-ground-football-boots/IH1913.html,F50 MESSI CLUB Firm Ground / Multi Ground Football Boots,Performance,6599,6599,0,0
https://www.adidas.co.in/galaxy-7-running-shoes/ID8760.html,Galaxy 7 Running Shoes,Men Performance,4409.5,6299,1889.5,30
https://www.adidas.co.in/adidas-x-coca-cola-predator-sala-shoes/KH6906.html,ADIDAS X COCA-COLA PREDATOR SALA SHOES,Originals,11999,11999,0,0
https://www.adidas.co.in/cloudfoam-flex-lounge-rapidfit-shoes/HQ2569.html,CLOUDFOAM FLEX LOUNGE RAPIDFIT SHOES,Men Sportswear,6599,6599,0,0
https://www.adidas.co.in/handball-spezial-shoes/DB3021.html,Handball Spezial Shoes,Men Originals,7699.5,10999,3299.5,30
https://www.adidas.co.in/adizero-evo-sl-exo-shoes/KI4763.html,ADIZERO EVO SL EXO Shoes,Men Performance,15999,15999,0,0
https://www.adidas.co.in/nu23-cricket-shoes/JK0171.html,NU23 Cricket Shoes,Performance,2499.5,4999,2499.5,50
